과목명,교수,분반,요일,시작,종료,강의실,학점,카테고리,영역,학년,비고
사제동행세미나1,주해종,1,화,17:00,18:00,가브리엘319,0.5,전공필수,전필,1,P/NP
프로그래밍기초,주해종,1,수,15:00,17:00,가브리엘319,3,전공필수,기초,1,
프로그래밍기초,주해종,1,목,09:00,11:00,가브리엘319,3,전공필수,기초,1,
데이터리터러시와기초통계,주해종,1,화,09:00,11:00,가브리엘319,2,전공필수,기초,1,
데이터리터러시실습,주해종,1,월,15:00,18:00,가브리엘319,2,전공필수,기초,1,
사제동행세미나1,이기영,2,월,18:00,19:00,가브리엘506,0.5,전공필수,전필,1,P/NP
사제동행세미나1,이상식,3,월,18:00,19:00,가브리엘509,0.5,전공필수,전필,1,P/NP
사제동행세미나1,조재현,4,월,18:00,19:00,가브리엘508,0.5,전공필수,전필,1,P/NP
AI소프트웨어개론,이상식,1,화,10:00,13:00,가브리엘509,3,전공필수,기초,1,
디지털헬스와사회,이기영,1,월,10:00,12:00,가브리엘502,2,전공필수,기초,1,
사제동행세미나3,이기영,1,화,18:00,19:00,가브리엘506,0.5,전공필수,전필,2,P/NP
사제동행세미나3,이상식,2,화,18:00,19:00,가브리엘509,0.5,전공필수,전필,2,P/NP
사제동행세미나3,조재현,3,화,18:00,19:00,가브리엘508,0.5,전공필수,전필,2,P/NP
의용프로그래밍실습,이기영,1,화,14:00,17:00,가브리엘506,2,전공선택,전기,2,
기초의용회로,이기영,1,월,15:00,17:00,가브리엘506,3,전공선택,전기,2,
기초의용회로,이기영,1,목,11:00,13:00,가브리엘506,3,전공선택,전기,2,
기초의공실험I,이상식,1,수,14:00,17:00,가브리엘508,3,전공선택,전기,2,
기초의공실험I,이상식,2,,,,,3,전공선택,전기,2,학과사전신청만가능
사제동행세미나5,이기영,1,수,18:00,19:00,가브리엘506,0.5,전공필수,전필,3,P/NP
사제동행세미나5,이상식,2,수,18:00,19:00,가브리엘509,0.5,전공필수,전필,3,P/NP
의료기기설계,조재현,1,화,10:00,13:00,가브리엘413,3,전공필수,전심,3,
의료기기설계,조재현,2,,,,,3,전공필수,전심,3,학과사전신청만가능
산업응용종합설계I,이상식,1,목,10:00,13:00,가브리엘509,3,전공필수,전심,3,
산업응용종합설계I,이상식,2,,,,,3,전공필수,전심,3,학과사전신청만가능
의료기기제작실습I,이기영,1,수,10:00,13:00,가브리엘506,3,전공필수,전심,3,
의료기기제작실습I,이기영,2,,,,,3,전공필수,전심,3,학과사전신청만가능
사제동행세미나7,이기영,1,목,18:00,19:00,가브리엘506,0.5,전공필수,전필,4,P/NP
사제동행세미나7,이상식,2,목,18:00,19:00,가브리엘509,0.5,전공필수,전필,4,P/NP
사제동행세미나7,조재현,3,목,18:00,19:00,가브리엘508,0.5,전공필수,전필,4,P/NP
창의종합설계I,이상식,1,월,14:00,17:00,가브리엘509,3,전공필수,전심,4,
창의종합설계I,이상식,2,,,,,3,전공필수,전심,4,학과사전신청만가능
VERUM캠프1,김성수,1,,,,,1,교양필수,VERUM인성,1,P/NP14-22학번전용
VERUM캠프2,김성수,1,,,,,1,교양필수,VERUM인성,1,P/NP14-22학번전용
VERUM인성,김성수,1,월,16:00,17:00,마리아320,1,교양필수,VERUM인성,1,23-25학번전용
VERUM인성,김성수,2,화,14:00,15:00,창조404,1,교양필수,VERUM인성,1,23-25학번전용
VERUM인성:그리스도교문화,김성수,1,화,17:00,19:00,창조관대강당,2,교양필수,VERUM인성:그리스도교문화,1,의과대헬스케어융합대26학번전용
VERUM인성:그리스도교문화,김성수,2,화,15:00,17:00,창조관대강당,2,교양필수,VERUM인성:그리스도교문화,1,
인간:삶의진실,김성수,1,월,11:00,13:00,창조404,2,교양필수,VERUM인간,1,의과대학전용
인간:삶의진실,김성수,2,화,11:00,13:00,창조404,2,교양필수,VERUM인간,1,트리니티전용
인간:삶의진실,김성수,3,수,15:00,17:00,창조404,2,교양필수,VERUM인간,1,트리니티전용
인간:삶의진실,김성수,4,목,11:00,13:00,창조404,2,교양필수,VERUM인간,1,트리니티전용
